"CategoryId"	"ParentCategoyrId"	"Position"
"new-arrivals"	""	"0"
"newarrivals-clothing"	"new-arrivals"	"0"
"newarrivals-dresses"	"new-arrivals"	"1"
"newarrivals-accessories"	"new-arrivals"	"2"
"newarrivals-shoes"	"new-arrivals"	"3"
"newarrivals-tops"	"new-arrivals"	"4"
"newarrivals-sweaters"	"new-arrivals"	"5"
"newarrivals-jacketscoats"	"new-arrivals"	"6"
"newarrivals-bottoms"	"new-arrivals"	"7"
"newarrivals-denim"	"new-arrivals"	"8"
"newarrivals-jumpsuitsrompers"	"new-arrivals"	"9"
"newarrivals-jewelry"	"new-arrivals"	"10"
"clothing"	""	"1"
"clothing-tops"	"clothing"	"0"
"top-topsunder29dollars"	"clothing-tops"	"0"
"tops-knittops"	"clothing-tops"	"1"
"tops-tanksandcamis"	"clothing-tops"	"2"
"tops-crops"	"clothing-tops"	"3"
"tops-bodysuits"	"clothing-tops"	"4"
"tops-tunics"	"clothing-tops"	"5"
"tops-blouses"	"clothing-tops"	"6"
"tops-datetops"	"clothing-tops"	"7"
"clothing-sweaters"	"clothing"	"1"
"sweaters-sweaters"	"clothing-sweaters"	"0"
"sweaters-sweaterdresses"	"clothing-sweaters"	"1"
"clothing-outerwear"	"clothing"	"2"
"outerwear-fauxleather"	"clothing-outerwear"	"0"
"outerwear-jacketsblazers"	"clothing-outerwear"	"1"
"outerwear-coats"	"clothing-outerwear"	"2"
"clothing-bottoms"	"clothing"	"3"
"bottoms-leggings"	"clothing-bottoms"	"0"
"bottoms-pants"	"clothing-bottoms"	"1"
"bottoms-shorts"	"clothing-bottoms"	"2"
"bottoms-skirts"	"clothing-bottoms"	"3"
"bottoms-maxiskirts"	"clothing-bottoms"	"4"
"clothing-denim"	"clothing"	"4"
"denim-skinnyjeans"	"clothing-denim"	"0"
"denim-highwaistjeans"	"clothing-denim"	"1"
"denim-flarejeans"	"clothing-denim"	"2"
"denim-shorts"	"clothing-denim"	"3"
"clothing-dresses"	"clothing"	"5"
"clothing-jumpsuitsrompers"	"clothing"	"6"
"clothing-swim"	"clothing"	"7"
"dresses"	""	"2"
"dresses-dressesunder100"	"dresses"	"0"
"dresses-midimaxidresses"	"dresses"	"1"
"dresses-daydresses"	"dresses"	"2"
"dresses-partydress"	"dresses"	"3"
"dresses-bodycondresses"	"dresses"	"4"
"dresses-littleblackdress"	"dresses"	"5"
"dresses-sweaterdresses"	"dresses"	"6"
"shoes"	""	"3"
"shoes-heels"	"shoes"	"0"
"accessories"	""	"4"
"accessories-hats"	"accessories"	"0"
"accessories-bags"	"accessories"	"1"
"accessories-belts"	"accessories"	"2"
"accessories-scarves"	"accessories"	"3"
"accessories-lingerie"	"accessories"	"4"
"accessories-hairaccessories"	"accessories"	"5"
"accessories-jewelry"	"accessories"	"6"
"jewelry-necklaces"	"accessories-jewelry"	"0"
"jewelry-earrings"	"accessories-jewelry"	"1"
"jewelry-bracelets"	"accessories-jewelry"	"2"
"jewelry-rings"	"accessories-jewelry"	"3"
"jewelry-watches"	"accessories-jewelry"	"4"
"jewelry-bodyjewelry"	"accessories-jewelry"	"5"
"accessories-shoes"	"accessories"	"7"
"accessories-miscellaneous"	"accessories"	"8"
"accessories-sunglasses"	"accessories"	"9"
"sale"	""	"5"
"sale-promo"	"sale"	"0"
"promo-denim"	"sale-promo"	"0"
"promo-leggings"	"sale-promo"	"1"
"promo-dresses"	"sale-promo"	"2"
"promo-jackets"	"sale-promo"	"3"
"promo-sweaters"	"sale-promo"	"4"
"promo-bottoms"	"sale-promo"	"5"
"promo-accessories"	"sale-promo"	"6"
"promo-tops"	"sale-promo"	"7"
"clearance"	"sale"	"1"
"CLR-G200"	"clearance"	"0"
"CLR-G201"	"clearance"	"1"
"CLR-G203"	"clearance"	"2"
"CLR-G204"	"clearance"	"3"
"CLR-G205"	"clearance"	"4"
"CLR-G202"	"clearance"	"5"
"CLR-G206"	"clearance"	"6"
"features"	""	"6"
"currently-coveting"	"features"	"0"
"currently-coveting-hollywood-glam"	"currently-coveting"	"0"
"currently-coveting-winter-luxe"	"currently-coveting"	"1"
"currently-coveting-intercontinental-kitten"	"currently-coveting"	"2"
"currently-coveting-all-dressed-up"	"currently-coveting"	"3"
"currently-coveting-english-glamour"	"currently-coveting"	"4"
"currently-coveting-fashion-frontier"	"currently-coveting"	"5"
"currently-coveting-rock"	"currently-coveting"	"6"
"currently-coveting-studio-54"	"currently-coveting"	"7"
"club-by-ardenb"	"features"	"1"
"buyers-pick"	"features"	"2"
"trending-now"	"features"	"3"
"trending-now-leopard"	"trending-now"	"0"
"all-dressed-up"	"features"	"4"
"hidden categories"	""	"7"
"special-features-holiday-gifts"	"hidden categories"	"0"
"special-features-day-midi-skirts"	"hidden categories"	"1"
"special-features-night-midi-skirts"	"hidden categories"	"2"
"special-features-mixed-metal"	"hidden categories"	"3"
"special-features-lace"	"hidden categories"	"4"
"special-features-colorful-night-out"	"hidden categories"	"5"
"special-features-jewel-tone"	"hidden categories"	"6"
"special-features-dresses-shine"	"hidden categories"	"7"
"special-features-embellishments"	"hidden categories"	"8"
"special-features-gifts-for-me"	"hidden categories"	"9"
"special-features-girls-night-out"	"hidden categories"	"10"
"special-features-midi-skirts-for-a-day"	"hidden categories"	"11"
